# FIX-1106 emit-set residue manifest -- prod -- generated 2026-09-22T04:22:42.006Z
# cycle=2026 source=fec_bulk_indiv run_id=748aef69-4dd5-5cf9-bd75-570f482bc8dc complete_at=2026-09-21 00:20:29.915408+00
# emit set 1,015,185 keys; slice 1,059,817 rows / $1,314,241,322
# DROPPED-OUT 36 recipients / 19397 rows / $31,130,142
# PARTIAL     427 recipients / 25235 rows / $36,181,097
# This file is an AUTHORISATION, not a description. The apply re-checks every
# row-level fact keyed on these ids and SKIPS anything that grew since.
class	to_type	to_id	name	rows	cents	last_write	emitted_rows
PARTIAL	official	f915b2fb-8f97-4fcf-b3f3-ab8f8c9c46c1	Esther Varet	3	900000	2026-06-14 07:36:06.515121+00	1118
PARTIAL	official	0cd2ed5d-5a3e-4996-906f-db722e8384f8	Jamie Ager	15	890000	2026-07-27 07:37:00.253738+00	1751
PARTIAL	official	6baa14e7-c26c-4959-8067-684ac24d71a1	Juliana Stratton	12	890000	2026-07-27 07:10:22.827838+00	2887
PARTIAL	official	68bc1882-cadf-4fc2-a467-3b95dfca2622	Ron Johnson	1	852800	2026-07-06 07:56:57.272857+00	880
PARTIAL	official	033ba554-ee71-4609-b531-1252ce4ee531	Tom Cotton	4	850000	2026-07-30 22:40:05.852089+00	1950
PARTIAL	official	b61c5311-07a0-4b9e-9a59-1dc170408e85	Mariah Lancaster	3	840000	2026-07-13 07:06:10.937843+00	263
PARTIAL	official	6d46d731-0a88-4703-bb30-ee452c22f712	John Cappello	6	815000	2026-07-27 07:32:19.610806+00	56
PARTIAL	official	f03d57d7-dc2f-4bfc-96ca-dbd2289b6b36	Tom McClintock	11	814100	2026-07-30 22:40:05.852089+00	459
PARTIAL	official	a7989df5-fc15-4311-9755-2fef49a08f9a	Reilly Neill	7	810000	2026-06-14 07:42:15.998403+00	75
PARTIAL	official	f61376d2-3673-464d-952f-58c63651727d	Samuel Forstag	13	810000	2026-06-28 07:46:25.25761+00	655
PARTIAL	official	d8d683a1-6547-4272-a7e7-77233cb79eec	Raymond Bilger	12	809500	2026-07-27 07:09:50.015218+00	103
PARTIAL	official	57efc1f0-a586-47ba-9d72-f7a9dfc0a5d5	Caitlin Rourk	3	802600	2026-07-13 06:45:45.820928+00	229
PARTIAL	official	1a912fd3-f05f-431c-ac03-e1f282a02a30	Michael Collins	9	801000	2026-07-27 07:32:19.610806+00	1952
