# FIX-937 — non-federal-role officials carrying an FEC H/S/P CAND_ID (INACTIVE, prod, 2026-09-05)
# 115 officials, 62 holding fec_bulk donation rows
# 2,590 rows / $4,459,571.00
# with a federal official legitimately holding the same CAND_ID: 62
#
# A Council Member / Article III judge cannot stand for federal office, so the
# carried CAND_ID is not theirs and these donation rows are another person's money.
# REMEDIATION goes through the FIX-954 machinery (audit -> manifest -> apply ->
# rollup tail), NEVER a bare DELETE — the deleted rows' recipients must go dirty
# so jobid 24's donor-rollup regime rebuilds them.
#
official_id	full_name	role_title	tier	is_active	jurisdiction	carried_cand_id	federal_owner_id	federal_owner_name	federal_owner_role	fec_rows	fec_cents	cycles	first_at	last_at
6cda3499-89f3-462c-ab02-723e96c27587	Stephanie Duvall	Council Member	elected	false	SEA	H0NJ01207	78e3e881-b7d0-482a-ac87-33286eb4d7b3	Joshua Duvall	Candidate for Representative	0	0	0		
4645ea8e-ff77-40cc-975e-5ca8fc2efb0e	Chris Daly	Council Member	elected	false	SF	H2MO03183	06f6dfde-881d-41c9-983d-38f0e1c544c2	Andrew Daly	Candidate for Representative	0	0	0		
a78dddbe-198f-4c17-9c0d-d6cf9be89611	Tim Harris - Law Dept	Council Member	elected	false	SEA	H8OK01165	52bce601-a4e0-42bb-a2d4-fb21266deaab	Tim Harris	Candidate for Representative	0	0	0		
7e799bd4-9fde-49c9-bf2d-26e1effcfd0f	Matt Hartman	Council Member	elected	false	AUS	H6PA16296	bf76ce8d-355c-422c-8744-7a006a96261b	Christina Hartman	Candidate for Representative	0	0	0		
a2893e64-5d84-4305-98ff-9748c90a0957	Nicole Hendrickson	Council Member	elected	false	AUS	H8SD01105	bfe69825-103c-4745-b59f-8146e44854db	George Hendrickson	Candidate for Representative	0	0	0		
58ea303a-33ad-426a-864e-f6d9a955387e	Daniel Mitchell	Council Member	elected	false	SEA	H8TN03208	d68a5de3-4af8-401b-bec8-58fe59776d0d	Danielle Mitchell	Candidate for Representative	0	0	0		
f4c25d74-1fee-4335-8e70-04a51fd0d9c0	Roberto Trevino	Council Member	elected	false	AUS	H8TX23139	d5b56139-53a7-475b-a575-ba6c9327267c	Ricardo Trevino	Candidate for Representative	0	0	0		
6f206e50-752b-444a-a70b-6fbc7d18016e	Megan Rosenfeld	Council Member	elected	false	SEA	S2PA00331	b2dde93b-6c3a-4e1f-bb4a-0edb8029f723	Martin Rosenfeld	Candidate for Senator	0	0	0		
f3c15630-66af-4f65-96e9-74b23fe92134	Mabel Teng	Council Member	elected	false	SF	H6UT03166	1deba351-f841-45dd-9fdb-a6901267737b	Chia-Chi Teng	Candidate for Representative	0	0	0		
7ea4aac4-735d-4ad1-aa13-a9db7a6491f8	Lolita Espinosa	Council Member	elected	false	SF	H6CA26308	499a0852-5068-4067-9d93-88a01131c2f9	Chris Espinosa	Candidate for Representative	0	0	0		
